аб..туриент абИтуриент
г..роизм гЕроизм
г..роический гЕроический
г..пот..тический гИпотЕтический
г..р..зонтальный гОрИзонтальный
гр..мматический грАмматический
грам..тный грамОтный
гр..моздить грОмоздить
д..кл..рация дЕклАрация
д..коративный дЕкоративный
д..м..кратичный дЕмОкратичный
д..м..нстрация дЕмОнстрация
д..алоговый дИалоговый
д..алогический дИалогический
д..намика дИнамика
д..намический дИнамический
д..р..жировать дИрИжировать
д..спетчерский дИспетчерский
д..станционный дИстанционный
д..сц..плинарный дИсцИплинарный
д..сц..плинировать дИсцИплинировать
ж..лать жЕлать
зн..комиться знАкомиться
зн..комый знАкомый
ид..ализировать идЕализировать
ид..алист идЕалист
ид..альный идЕальный
иллюз..я иллюзИя
инд..видуальный индИвидуальный
инж..нерный инжЕнерный
инж..нерский инжЕнерский
ин..ц..ативный инИцИативный
инт..ллектуальный интЕллектуальный
инт..ллигентный интЕллигентный
инт..ллигенция интЕллигенция
инт..рьерный интЕрьерный
иск..жение искАжение
ист..нный истИнный
к..морка кАморка
к..нц..лярский кАнцЕлярский
к..р..к..турный кАрИкАтурный
к..р..к..турист кАрИкАтурист
к..варство кОварство
к..лдовской кОлдовской
к..л..баться кОлЕбаться
к..лл..ктивный кОллЕктивный
к..ллекционный кОллекционный
к..ллекционировать кОллекционировать
к..лыхаться кОлыхаться
к..мб..нировать кОмбИнировать
к..медийный кОмедийный
к..мп..тенция кОмпЕтенция
к..мпьютерный кОмпьютерный
к..мфортный кОмфортный
к..нкуренция кОнкуренция
к..нфликтовать кОнфликтовать
к..ролевство кОролевство
к..смический кОсмический
л..гендарный лЕгендарный
л..б..ральный лИбЕральный
л..нгвистический лИнгвистический
м..тер..альный мАтерИальный
м..тер..ализм мАтерИализм
м..тер..ализовать мАтерИализовать
мгн..венный мгнОвенный
м..нтальный мЕнтальный
м..тафорический мЕтафорический
м..ханический мЕханический
м..н..ральный мИнЕральный
м..норный мИнорный
м..н..литный мОнОлитный
м..тивировать мОтивировать
м..тивация мОтивация
м..тежный мЯтежный
насл..ждение наслАждение
об..татель обИтатель
об..ронять обОронять
оз..рничать озОрничать
оз..рник озОрник
оп..кунский опЕкунский
опт..мистичный оптИмистичный
опт..мизм оптИмизм
..рбитальный Орбитальный
орг..н..зация оргАнИзация
ор....нтир орИЕнтир
ор....нтироваться орИЕнтироваться
ор....нтация орИЕнтация
ост..рожность остОрожность
оф..церский офИцерский
ош..л..мительный ошЕлОмительный
ош..л..млённый ошЕлОмлённый
п..н..рамный пАнОрамный
п..р..доксальный пАрАдоксальный
п..триотизм пАтриотизм
п..триотический пАтриотический
п..йзажный пЕйзажный
п..ри..дический пЕриОдический
п..сс..мистичный пЕссИмистичный
п..сс..мизм пЕссИмизм
подр..жание подрАжание
подр..жатель подрАжатель
п..лемичный пОлемичный
п..л..рованный пОлИрованный
пор..жение порАжение
пор..зительный порАзительный
пос..щение посЕщение
пос..титель посЕтитель
прав..льный правИльный
пр..з..дентский прЕзИдентский
пр..обр..жение прЕобрАжение
пр..обр..зовать прЕобрАзовать
пр..обр..зование прЕобрАзование
пр..обр..зователь прЕобрАзователь
пр..од..ление прЕодОление
пр..в..легированный прИвИлегированный
пр..ор..тетный прИорИтетный
пр..винциальный прОвинциальный
рац..онализировать рацИонализировать
р....листичный рЕАлистичный
р....лизм рЕАлизм
р..ж..ссёрский рЕжИссёрский
р..м..сленный рЕмЕсленный
р..ст..врационный рЕстАврационный
р..ф..рировать рЕфЕрировать
р..форматор рЕформатор
р..формировать рЕформировать
р..цензент рЕцензент
р..цензировать рЕцензировать
р..торический рИторический
р..мантический рОмантический
р..мантизм рОмантизм
с..лютовать сАлютовать
с..тирический сАтирический
с..зонный сЕзонный
с..мпатичный сИмпатичный
с..мфонический сИмфонический
с..реневый сИреневый
с..стематичный сИстематичный
с..стематизировать сИстематизировать
сн..р..жение снАрЯжение
состр..дание сострАдание
сост..зание состЯзание
стр..ховка стрАховка
стр..мление стрЕмление
сув..ренный сувЕренный
сум..речный сумЕречный
т..лантливый тАлантливый
т..оретический тЕоретический
т..рр..ториальный тЕррИториальный
т..ржественный тОржественный
тр..диционный трАдиционный
тр..ф..ретный трАфАретный
тр..вожный трЕвожный
тр..вожить трЕвожить
тр..мвайный трАмвайный
тр..ллейбусный трОллейбусный
тр..стниковый трОстниковый
уг..щать угОщать
уг..щение угОщение
ун..в..рситетский унИвЕрситетский
у..звлённый уЯзвлённый
ф..нтастический фАнтастический
ф..гурировать фИгурировать
ф..гурист(ка) фИгурист(ка)
ф..гурный фИгурный
ф..нансовый фИнансовый
фр..гментарный фрАгментарный
фраз..ологический фразЕологический
ха..тичный хаОтичный
х..рактерный хАрактерный
х..рактеризовать хАрактеризовать
ц..ментный цЕментный
ц..в..л..зационный цИвИлИзационный
ц..в..л..зованный цИвИлИзованный
ц..линдрический цИлиндрический
ц..тировать цИтировать
ч..л..веческий чЕлОвеческий
ч..л..вечный чЕлОвечный
ч..мп..онат чЕмпИонат
ч..мп..онский чЕмпИонский
ш..к..ладный шОкОладный
ш..ссейный шОссейный
ш..фёрский шОфёрский
эв..люционировать эвОлюционировать
эк..номика экОномика
эк..номичный экОномичный
эксп..р..ментальный экспЕрИментальный
эксп..р..ментировать экспЕрИментировать
..лектрический Электрический
..лектричество Электричество
энц..кл..педист энцИклОпедист
энц..кл..педический энцИклОпедический
